,company,industry,sector,year,url,filename
136,Acadia Realty Trust,REIT - Retail,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_AKR_2019.pdf,AcadiaRealtyTrust-2019.pdf
137,Brixmor Property Group Inc,REIT - Retail,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/b/NYSE_BRX_2018.pdf,BrixmorPropertyGroupInc-2018.pdf
138,Brixmor Property Group Inc,REIT - Retail,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_BRX_2019.pdf,BrixmorPropertyGroupInc-2019.pdf
139,Federal Realty Investment Trust,REIT - Retail,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_FRT_2018.pdf,FederalRealtyInvestmentTrust-2018.pdf
140,Kimco Realty Corporation,REIT - Retail,Financial,2013.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/k/NYSE_KIM_2013.pdf,KimcoRealtyCorporation-2013.pdf
141,Kimco Realty Corporation,REIT - Retail,Financial,2014.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/k/NYSE_KIM_2014.pdf,KimcoRealtyCorporation-2014.pdf
142,Kimco Realty Corporation,REIT - Retail,Financial,2015.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/k/NYSE_KIM_2015.pdf,KimcoRealtyCorporation-2015.pdf
143,Kimco Realty Corporation,REIT - Retail,Financial,2016.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/k/NYSE_KIM_2016.pdf,KimcoRealtyCorporation-2016.pdf
144,Kimco Realty Corporation,REIT - Retail,Financial,2017.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/k/NYSE_KIM_2017.pdf,KimcoRealtyCorporation-2017.pdf
145,Kimco Realty Corporation,REIT - Retail,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_KIM_2018.pdf,KimcoRealtyCorporation-2018.pdf
146,Macerich Company,REIT - Retail,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_MAC_2018.pdf,MacerichCompany-2018.pdf
147,Realty Income Corp.,REIT - Retail,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_O_2018.pdf,RealtyIncomeCorp.-2018.pdf
148,Regency Centers Corporation,REIT - Retail,Financial,2017.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_REG_2017.pdf,RegencyCentersCorporation-2017.pdf
149,Regency Centers Corporation,REIT - Retail,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_REG_2018.pdf,RegencyCentersCorporation-2018.pdf
150,RioCan REIT,REIT - Retail,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/TSX_REI_2018.pdf,RioCanREIT-2018.pdf
151,Simon Property Group Inc.,REIT - Retail,Financial,2014.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/NYSE_SPG_2014.pdf,SimonPropertyGroupInc.-2014.pdf
152,Simon Property Group Inc.,REIT - Retail,Financial,2015.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/NYSE_SPG_2015.pdf,SimonPropertyGroupInc.-2015.pdf
153,Simon Property Group Inc.,REIT - Retail,Financial,2016.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/NYSE_SPG_2016.pdf,SimonPropertyGroupInc.-2016.pdf
154,Simon Property Group Inc.,REIT - Retail,Financial,2017.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/NYSE_SPG_2017.pdf,SimonPropertyGroupInc.-2017.pdf
155,Simon Property Group Inc.,REIT - Retail,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/s/NYSE_SPG_2018.pdf,SimonPropertyGroupInc.-2018.pdf
156,Simon Property Group Inc.,REIT - Retail,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_SPG_2019.pdf,SimonPropertyGroupInc.-2019.pdf
157,Tanger Factory Outlet Centers,REIT - Retail,Financial,2016.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/t/NYSE_SKT_2016.pdf,TangerFactoryOutletCenters-2016.pdf
158,Tanger Factory Outlet Centers,REIT - Retail,Financial,2017.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/t/NYSE_SKT_2017.pdf,TangerFactoryOutletCenters-2017.pdf
159,Tanger Factory Outlet Centers,REIT - Retail,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_SKT_2018.pdf,TangerFactoryOutletCenters-2018.pdf
160,Taubman Centers Inc.,REIT - Retail,Financial,2015.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/t/NYSE_TCO_2015.pdf,TaubmanCentersInc.-2015.pdf
161,Taubman Centers Inc.,REIT - Retail,Financial,2016.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/t/NYSE_TCO_2016.pdf,TaubmanCentersInc.-2016.pdf
162,Washington Real Estate Investment Trust,REIT - Retail,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/w/NYSE_WRE_2016.pdf,WashingtonRealEstateInvestmentTrust-2019.pdf
163,Washington Real Estate Investment Trust,REIT - Retail,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_WRE_2019.pdf,WashingtonRealEstateInvestmentTrust-2019.pdf
164,Weingarten Realty Investors,REIT - Retail,Financial,2017.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/w/NYSE_WRI_2017.pdf,WeingartenRealtyInvestors-2017.pdf
165,Weingarten Realty Investors,REIT - Retail,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_WRI_2018.pdf,WeingartenRealtyInvestors-2018.pdf
166,W. P. Carey Inc.,REIT - Retail,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_WPC_2019.pdf,W.P.CareyInc.-2019.pdf
